;CD1_D2_up;CD1_D2_do;CD1_D3_up;CD1_D3_do;CD1_D4_up;CD1_D4_do;CD2_D3_up;CD2_D3_do;CD2_D4_up;CD2_D4_do;CD3_D4_up;CD3_D4_do;HSD1_D2_up;HSD1_D2_do;HSD1_D3_up;HSD1_D3_do;HSD1_D4_up;HSD1_D4_do;HSD2_D3_up;HSD2_D3_do;HSD2_D4_up;HSD2_D4_do;HSD3_D4_up;HSD3_D4_do;RAD1_D2_up;RAD1_D2_do;RAD1_D3_up;RAD1_D3_do;RAD1_D4_up;RAD1_D4_do;RAD2_D3_up;RAD2_D3_do;RAD2_D4_up;RAD2_D4_do;RAD3_D4_up;RAD3_D4_do;abund_Total;log10;Kingdom;Phylum;Class;Order;Family;Genus;Species
OTU-1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;233741;5.368734898;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Ramlibacter;s_
OTU-10;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61866;4.791452037;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter;s_
OTU-101;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11348;4.054919327;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Sinobacteraceae;g_;s_
OTU-10443;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2040;3.309630167;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_
OTU-1047;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1490;3.173186268;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacteriales;f_Enterobacteriaceae;g_Yersinia;s_
OTU-1049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;14281;4.154758619;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Pseudoxanthomonas;s_mexicana
OTU-1064;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9196;3.963598963;k_Bacteria;p_Bacteroidetes;c_[Saprospirae];o_[Saprospirales];f_Chitinophagaceae;g_;s_
OTU-108;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5925;3.772688355;k_Bacteria;p_Actinobacteria;c_MB-A2-108;o_0319-7L14;f_;g_;s_
OTU-1087;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3813;3.581266805;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae;g_Cellvibrio;s_
OTU-11;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10184;4.007918391;k_Bacteria;p_Gemmatimonadetes;c_Gemm-3;o_;f_;g_;s_
OTU-11225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2581;3.411788005;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Paenibacillaceae;g_Cohnella;s_
OTU-11857;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;892;2.950364854;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_
OTU-12;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34458;4.537290067;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingomonas;s_
